time   required_computation      processed_computation     high_level_computation access_server_computation  level_2_computation    level_3_computation    efficiency      changing_factor
1      252517573945              155007029578              54000000000            101007029578           0                      54000000000            0.613847        0.001190       
2      246962691743              152785076697              54000000000            98785076697            0                      54000000000            0.618657        0.001380       
3      242125487236              150850194894              54000000000            96850194894            0                      54000000000            0.623025        0.001570       
4      237841555122              149136622049              54000000000            95136622049            0                      54000000000            0.627042        0.001760       
5      233997221490              147598888596              54000000000            93598888596            0                      54000000000            0.630772        0.001950       
6      230510604373              146204241749              54000000000            92204241749            0                      54000000000            0.634263        0.002140       
7      227320762928              144928305171              54000000000            90928305171            0                      54000000000            0.637550        0.002330       
8      224381114155              203587409436              83587409436            120000000000           29587409436            54000000000            0.907329        0.002520       
9      221655249153              201770166102              81770166102            120000000000           27770166102            54000000000            0.910288        0.002710       
10     219114170325              200076113550              80076113550            120000000000           26076113550            54000000000            0.913114        0.002900       
11     216734407053              198489604702              78489604702            120000000000           24489604702            54000000000            0.915820        0.003090       
12     214496694622              196997796415              76997796415            120000000000           22997796415            54000000000            0.918419        0.003280       
13     212385025688              195590017126              75590017126            120000000000           21590017126            54000000000            0.920922        0.003470       
14     210385954934              194257303289              74257303289            120000000000           20257303289            54000000000            0.923338        0.003660       
15     208488079901              192992053267              72992053267            120000000000           18992053267            54000000000            0.925674        0.003850       
16     206681647013              191787764675              71787764675            120000000000           17787764675            54000000000            0.927938        0.004040       
17     204958248222              190638832148              70638832148            120000000000           16638832148            54000000000            0.930135        0.004230       
18     203310584358              189540389572              69540389572            120000000000           15540389572            54000000000            0.932270        0.004420       
19     201732278324              188488185549              68488185549            120000000000           14488185549            54000000000            0.934348        0.004610       
20     200217726040              187478484027              67478484027            120000000000           13478484027            54000000000            0.936373        0.004800       
21     198761976346              186507984230              66507984230            120000000000           12507984230            54000000000            0.938348        0.004990       
22     197360633352              185573755568              65573755568            120000000000           11573755568            54000000000            0.940277        0.005180       
23     196009776392              184673184262              64673184262            120000000000           10673184262            54000000000            0.942163        0.005370       
24     194705893902              183803929268              63803929268            120000000000           9803929268             54000000000            0.944008        0.005560       
25     193445828406              182963885604              62963885604            120000000000           8963885604             54000000000            0.945815        0.005750       
26     192226730460              182151153640              62151153640            120000000000           8151153640             54000000000            0.947585        0.005940       
27     191046019839              181364013226              61364013226            120000000000           7364013226             54000000000            0.949321        0.006130       
28     189901352656              180600901771              60600901771            120000000000           6600901771             54000000000            0.951025        0.006320       
29     188790593354              179860395569              59860395569            120000000000           5860395569             54000000000            0.952698        0.006510       
30     187711790722              179141193815              59141193815            120000000000           5141193815             54000000000            0.954342        0.006700       
31     186663157273              178442104849              58442104849            120000000000           4442104849             54000000000            0.955958        0.006890       
32     185643051423              177762034282              57762034282            120000000000           3762034282             54000000000            0.957547        0.007080       
33     184649962029              177099974686              57099974686            120000000000           3099974686             54000000000            0.959112        0.007270       
34     183682494929              176454996619              56454996619            120000000000           2454996619             54000000000            0.960652        0.007460       
35     182739361168              175826240779              55826240779            120000000000           1826240779             54000000000            0.962170        0.007650       
36     181819366673              175212911115              55212911115            120000000000           1212911115             54000000000            0.963665        0.007840       
37     180921403163              174614268776              54614268776            120000000000           614268776              54000000000            0.965139        0.008030       
38     180044440122              174029626748              54029626748            120000000000           29626748               54000000000            0.966593        0.008220       
39     179187517687              179187517687              59187517687            120000000000           16191875177            42995642511            1.000000        0.008410       
40     178349740340              178349740340              58349740340            120000000000           21600000000            36749740340            1.000000        0.008600       
41     177530271273              177530271273              57530271273            120000000000           16767070284            40763200990            1.000000        0.008790       
42     176728327375              176728327375              56728327375            120000000000           23236416369            33491911006            1.000000        0.008980       
43     175943174727              175943174727              55943174727            120000000000           21600000000            34343174727            1.000000        0.009170       
44     175174124568              175174124568              55174124568            120000000000           23158706228            32015418340            1.000000        0.009360       
45     174420529668              174420529668              54420529668            120000000000           16144205297            38276324372            1.000000        0.009550       
46     173681781050              173681781050              53681781050            120000000000           14400000000            39281781050            1.000000        0.009740       
47     172957305035              172957305035              52957305035            120000000000           24777438302            28179866733            1.000000        0.009930       
48     172246560567              172246560567              52246560567            120000000000           20466835722            31779724845            1.000000        0.010120       
49     171549036786              171549036786              51549036786            120000000000           14061961471            37487075314            1.000000        0.010310       
50     170864250818              170864250818              50864250818            120000000000           21234570033            29629680785            1.000000        0.010500       
51     170191745773              170191745773              50191745773            120000000000           28800000000            21391745773            1.000000        0.010690       
52     169531088908              169531088908              49531088908            120000000000           19485932667            30045156241            1.000000        0.010880       
53     168881869960              168881869960              48881869960            120000000000           19466456099            29415413861            1.000000        0.011070       
54     168243699610              168243699610              48243699610            120000000000           21129747984            27113951626            1.000000        0.011260       
55     167616208087              167616208087              47616208087            120000000000           21600000000            26016208087            1.000000        0.011450       
56     166999043875              166999043875              46999043875            120000000000           21079961755            25919082120            1.000000        0.011640       
57     166391872537              166391872537              46391872537            120000000000           13855674901            32536197636            1.000000        0.011830       
58     165794375620              165794375620              45794375620            120000000000           21031775025            24762600596            1.000000        0.012020       
59     165206249657              165206249657              45206249657            120000000000           14400000000            30806249657            1.000000        0.012210       
60     164627205239              164627205239              44627205239            120000000000           11810756767            32816448472            1.000000        0.012400       
61     164056966160              164056966160              44056966160            120000000000           20962278646            23094687513            1.000000        0.012590       
62     163495268626              163495268626              43495268626            120000000000           19304858059            24190410567            1.000000        0.012780       
63     162941860525              162941860525              42941860525            120000000000           14400000000            28541860525            1.000000        0.012970       
64     162396500741              162396500741              42396500741            120000000000           15482643338            26913857402            1.000000        0.013160       
65     161858958530              161858958530              41858958530            120000000000           14400000000            27458958530            1.000000        0.013350       
66     161329012931              161329012931              41329012931            120000000000           15475526753            25853486178            1.000000        0.013540       
67     160806452220              160806452220              40806452220            120000000000           4288172059             36518280161            1.000000        0.013730       
68     160291073403              160291073403              40291073403            120000000000           4808732202             35482341201            1.000000        0.013920       
69     159782681742              159782681742              39782681742            120000000000           8521743026             31260938716            1.000000        0.014110       
70     159281090314              159281090314              39281090314            120000000000           5840306645             33440783670            1.000000        0.014300       
71     158786119599              158786119599              38786119599            120000000000           4763583588             34022536011            1.000000        0.014490       
72     158297597092              158297597092              38297597092            120000000000           3693610599             34603986494            1.000000        0.014680       
73     157815356944              157815356944              37815356944            120000000000           3682358329             34132998615            1.000000        0.014870       
74     157339239623              157339239623              37339239623            120000000000           6293569585             31045670038            1.000000        0.015060       
75     156869091597              156869091597              36869091597            120000000000           8889248524             27979843073            1.000000        0.015250       
76     156404765039              156404765039              36404765039            120000000000           3649444518             32755320522            1.000000        0.015440       
