time   required_computation      processed_computation     high_level_computation access_server_computation  level_2_computation    level_3_computation    efficiency      changing_factor
1      252517573945              101007029578              0                      101007029578           0                      0                      0.400000        0.001190       
2      246962691743              98785076697               0                      98785076697            0                      0                      0.400000        0.001380       
3      242125487236              96850194894               0                      96850194894            0                      0                      0.400000        0.001570       
4      237841555122              95136622049               0                      95136622049            0                      0                      0.400000        0.001760       
5      233997221490              93598888596               0                      93598888596            0                      0                      0.400000        0.001950       
6      230510604373              92204241749               0                      92204241749            0                      0                      0.400000        0.002140       
7      227320762928              90928305171               0                      90928305171            0                      0                      0.400000        0.002330       
8      224381114155              120000000000              0                      120000000000           0                      0                      0.534804        0.002520       
9      221655249153              120000000000              0                      120000000000           0                      0                      0.541381        0.002710       
10     219114170325              120000000000              0                      120000000000           0                      0                      0.547660        0.002900       
11     216734407053              120000000000              0                      120000000000           0                      0                      0.553673        0.003090       
12     214496694622              120000000000              0                      120000000000           0                      0                      0.559449        0.003280       
13     212385025688              120000000000              0                      120000000000           0                      0                      0.565012        0.003470       
14     210385954934              120000000000              0                      120000000000           0                      0                      0.570380        0.003660       
15     208488079901              120000000000              0                      120000000000           0                      0                      0.575572        0.003850       
16     206681647013              120000000000              0                      120000000000           0                      0                      0.580603        0.004040       
17     204958248222              120000000000              0                      120000000000           0                      0                      0.585485        0.004230       
18     203310584358              120000000000              0                      120000000000           0                      0                      0.590230        0.004420       
19     201732278324              120000000000              0                      120000000000           0                      0                      0.594848        0.004610       
20     200217726040              120000000000              0                      120000000000           0                      0                      0.599348        0.004800       
21     198761976346              120000000000              0                      120000000000           0                      0                      0.603737        0.004990       
22     197360633352              120000000000              0                      120000000000           0                      0                      0.608024        0.005180       
23     196009776392              120000000000              0                      120000000000           0                      0                      0.612214        0.005370       
24     194705893902              120000000000              0                      120000000000           0                      0                      0.616314        0.005560       
25     193445828406              120000000000              0                      120000000000           0                      0                      0.620329        0.005750       
26     192226730460              120000000000              0                      120000000000           0                      0                      0.624263        0.005940       
27     191046019839              120000000000              0                      120000000000           0                      0                      0.628121        0.006130       
28     189901352656              120000000000              0                      120000000000           0                      0                      0.631907        0.006320       
29     188790593354              120000000000              0                      120000000000           0                      0                      0.635625        0.006510       
30     187711790722              120000000000              0                      120000000000           0                      0                      0.639278        0.006700       
31     186663157273              120000000000              0                      120000000000           0                      0                      0.642869        0.006890       
32     185643051423              120000000000              0                      120000000000           0                      0                      0.646402        0.007080       
