time   required_computation      processed_computation     high_level_computation access_server_computation  level_2_computation    level_3_computation    efficiency      changing_factor
1      336690098593              138000000000              18000000000            120000000000           0                      18000000000            0.409872        0.001190       
2      329283588991              138000000000              18000000000            120000000000           0                      18000000000            0.419092        0.001380       
3      322833982981              138000000000              18000000000            120000000000           0                      18000000000            0.427464        0.001570       
4      317122073497              138000000000              18000000000            120000000000           0                      18000000000            0.435164        0.001760       
5      311996295320              138000000000              18000000000            120000000000           0                      18000000000            0.442313        0.001950       
6      307347472497              138000000000              18000000000            120000000000           0                      18000000000            0.449003        0.002140       
7      303094350570              138000000000              18000000000            120000000000           0                      18000000000            0.455304        0.002330       
8      299174818873              138000000000              18000000000            120000000000           0                      18000000000            0.461269        0.002520       
9      295540332205              138000000000              18000000000            120000000000           0                      18000000000            0.466941        0.002710       
10     292152227099              138000000000              18000000000            120000000000           0                      18000000000            0.472356        0.002900       
11     288979209404              138000000000              18000000000            120000000000           0                      18000000000            0.477543        0.003090       
12     285995592829              138000000000              18000000000            120000000000           0                      18000000000            0.482525        0.003280       
13     283180034251              138000000000              18000000000            120000000000           0                      18000000000            0.487322        0.003470       
14     280514606578              138000000000              18000000000            120000000000           0                      18000000000            0.491953        0.003660       
15     277984106534              138000000000              18000000000            120000000000           0                      18000000000            0.496431        0.003850       
16     275575529350              138000000000              18000000000            120000000000           0                      18000000000            0.500770        0.004040       
17     273277664296              138000000000              18000000000            120000000000           0                      18000000000            0.504981        0.004230       
18     271080779145              138000000000              18000000000            120000000000           0                      18000000000            0.509073        0.004420       
19     268976371099              138000000000              18000000000            120000000000           0                      18000000000            0.513056        0.004610       
20     266956968053              138000000000              18000000000            120000000000           0                      18000000000            0.516937        0.004800       
21     265015968461              138000000000              18000000000            120000000000           0                      18000000000            0.520723        0.004990       
22     263147511136              138000000000              18000000000            120000000000           0                      18000000000            0.524421        0.005180       
23     261346368523              138000000000              18000000000            120000000000           0                      18000000000            0.528035        0.005370       
24     259607858536              138000000000              18000000000            120000000000           0                      18000000000            0.531571        0.005560       
25     257927771209              138000000000              18000000000            120000000000           0                      18000000000            0.535034        0.005750       
26     256302307280              138000000000              18000000000            120000000000           0                      18000000000            0.538427        0.005940       
27     254728026452              138000000000              18000000000            120000000000           0                      18000000000            0.541754        0.006130       
28     253201803541              138000000000              18000000000            120000000000           0                      18000000000            0.545020        0.006320       
29     251720791138              138000000000              18000000000            120000000000           0                      18000000000            0.548226        0.006510       
30     250282387629              138000000000              18000000000            120000000000           0                      18000000000            0.551377        0.006700       
31     248884209698              138000000000              18000000000            120000000000           0                      18000000000            0.554475        0.006890       
32     247524068564              138000000000              18000000000            120000000000           0                      18000000000            0.557522        0.007080       
33     246199949372              138000000000              18000000000            120000000000           0                      18000000000            0.560520        0.007270       
34     244909993238              138000000000              18000000000            120000000000           0                      18000000000            0.563472        0.007460       
35     243652481557              138000000000              18000000000            120000000000           0                      18000000000            0.566380        0.007650       
36     242425822231              138000000000              18000000000            120000000000           0                      18000000000            0.569246        0.007840       
37     241228537551              138000000000              18000000000            120000000000           0                      18000000000            0.572072        0.008030       
38     240059253496              138000000000              18000000000            120000000000           0                      18000000000            0.574858        0.008220       
39     238916690250              138000000000              18000000000            120000000000           0                      18000000000            0.577607        0.008410       
40     237799653786              138000000000              18000000000            120000000000           0                      18000000000            0.580320        0.008600       
41     236707028364              138000000000              18000000000            120000000000           0                      18000000000            0.582999        0.008790       
42     235637769833              138000000000              18000000000            120000000000           0                      18000000000            0.585645        0.008980       
43     234590899636              138000000000              18000000000            120000000000           0                      18000000000            0.588258        0.009170       
44     233565499425              138000000000              18000000000            120000000000           0                      18000000000            0.590841        0.009360       
45     232560706224              138000000000              18000000000            120000000000           0                      18000000000            0.593393        0.009550       
46     231575708066              138000000000              18000000000            120000000000           0                      18000000000            0.595917        0.009740       
47     230609740046              138000000000              18000000000            120000000000           0                      18000000000            0.598414        0.009930       
48     229662080756              138000000000              18000000000            120000000000           0                      18000000000            0.600883        0.010120       
49     228732049048              138000000000              18000000000            120000000000           0                      18000000000            0.603326        0.010310       
