time   required_computation      processed_computation     high_level_computation access_server_computation  level_2_computation    level_3_computation    efficiency      changing_factor
1      40875000000               40875000000               0                      40875000000            0                      0                      1.000000        10.900000      
2      44250000000               44250000000               0                      44250000000            0                      0                      1.000000        11.800000      
3      47625000000               47625000000               0                      47625000000            0                      0                      1.000000        12.700000      
4      51000000000               51000000000               0                      51000000000            0                      0                      1.000000        13.600000      
5      54375000000               54375000000               0                      54375000000            0                      0                      1.000000        14.500000      
6      57750000000               57750000000               0                      57750000000            0                      0                      1.000000        15.400000      
7      61125000000               61125000000               0                      61125000000            0                      0                      1.000000        16.300000      
8      64500000000               64500000000               0                      64500000000            0                      0                      1.000000        17.200000      
9      67875000000               67875000000               0                      67875000000            0                      0                      1.000000        18.100000      
10     71250000000               71250000000               0                      71250000000            0                      0                      1.000000        19.000000      
11     74625000000               74625000000               0                      74625000000            0                      0                      1.000000        19.900000      
12     78000000000               78000000000               0                      78000000000            0                      0                      1.000000        20.800000      
13     81375000000               81375000000               0                      81375000000            0                      0                      1.000000        21.700000      
14     84750000000               84750000000               0                      84750000000            0                      0                      1.000000        22.600000      
15     88125000000               88125000000               0                      88125000000            0                      0                      1.000000        23.500000      
16     91500000000               91500000000               0                      91500000000            0                      0                      1.000000        24.400000      
17     94875000000               94875000000               0                      94875000000            0                      0                      1.000000        25.300000      
18     98250000000               98250000000               0                      98250000000            0                      0                      1.000000        26.200000      
19     101625000000              101625000000              0                      101625000000           0                      0                      1.000000        27.100000      
20     105000000000              105000000000              0                      105000000000           0                      0                      1.000000        28.000000      
21     108375000000              108375000000              0                      108375000000           0                      0                      1.000000        28.900000      
22     111750000000              111750000000              0                      111750000000           0                      0                      1.000000        29.800000      
23     115125000000              115125000000              0                      115125000000           0                      0                      1.000000        30.700000      
24     118500000000              118500000000              0                      118500000000           0                      0                      1.000000        31.600000      
25     121875000000              120000000000              0                      120000000000           0                      0                      0.984615        32.500000      
26     125250000000              120000000000              0                      120000000000           0                      0                      0.958084        33.400000      
27     128625000000              120000000000              0                      120000000000           0                      0                      0.932945        34.300000      
28     132000000000              120000000000              0                      120000000000           0                      0                      0.909091        35.200000      
29     135375000000              120000000000              0                      120000000000           0                      0                      0.886427        36.100000      
30     138750000000              120000000000              0                      120000000000           0                      0                      0.864865        37.000000      
31     142125000000              120000000000              0                      120000000000           0                      0                      0.844327        37.900000      
32     145500000000              120000000000              0                      120000000000           0                      0                      0.824742        38.800000      
33     148875000000              120000000000              0                      120000000000           0                      0                      0.806045        39.700000      
34     152250000000              120000000000              0                      120000000000           0                      0                      0.788177        40.600000      
35     155625000000              120000000000              0                      120000000000           0                      0                      0.771084        41.500000      
36     159000000000              120000000000              0                      120000000000           0                      0                      0.754717        42.400000      
37     162375000000              120000000000              0                      120000000000           0                      0                      0.739030        43.300000      
38     165750000000              120000000000              0                      120000000000           0                      0                      0.723982        44.200000      
39     169125000000              120000000000              0                      120000000000           0                      0                      0.709534        45.100000      
40     172500000000              120000000000              0                      120000000000           0                      0                      0.695652        46.000000      
41     175875000000              120000000000              0                      120000000000           0                      0                      0.682303        46.900000      
42     179250000000              120000000000              0                      120000000000           0                      0                      0.669456        47.800000      
43     182625000000              120000000000              0                      120000000000           0                      0                      0.657084        48.700000      
44     186000000000              120000000000              0                      120000000000           0                      0                      0.645161        49.600000      
45     189375000000              120000000000              0                      120000000000           0                      0                      0.633663        50.500000      
46     192750000000              120000000000              0                      120000000000           0                      0                      0.622568        51.400000      
47     196125000000              120000000000              0                      120000000000           0                      0                      0.611855        52.300000      
48     199500000000              120000000000              0                      120000000000           0                      0                      0.601504        53.200000      
49     202875000000              120000000000              0                      120000000000           0                      0                      0.591497        54.100000      
50     206250000000              120000000000              0                      120000000000           0                      0                      0.581818        55.000000      
51     209625000000              120000000000              0                      120000000000           0                      0                      0.572451        55.900000      
52     213000000000              120000000000              0                      120000000000           0                      0                      0.563380        56.800000      
53     216375000000              120000000000              0                      120000000000           0                      0                      0.554593        57.700000      
54     219750000000              120000000000              0                      120000000000           0                      0                      0.546075        58.600000      
55     223125000000              120000000000              0                      120000000000           0                      0                      0.537815        59.500000      
56     226500000000              90600000000               0                      90600000000            0                      0                      0.400000        60.400000      
57     229875000000              91950000000               0                      91950000000            0                      0                      0.400000        61.300000      
58     233250000000              93300000000               0                      93300000000            0                      0                      0.400000        62.200000      
59     236625000000              94650000000               0                      94650000000            0                      0                      0.400000        63.100000      
60     240000000000              96000000000               0                      96000000000            0                      0                      0.400000        64.000000      
61     243375000000              97350000000               0                      97350000000            0                      0                      0.400000        64.900000      
62     246750000000              98700000000               0                      98700000000            0                      0                      0.400000        65.800000      
63     250125000000              100050000000              0                      100050000000           0                      0                      0.400000        66.700000      
64     253500000000              101400000000              0                      101400000000           0                      0                      0.400000        67.600000      
65     256875000000              102750000000              0                      102750000000           0                      0                      0.400000        68.500000      
66     260250000000              104100000000              0                      104100000000           0                      0                      0.400000        69.400000      
67     263625000000              105450000000              0                      105450000000           0                      0                      0.400000        70.300000      
68     267000000000              106800000000              0                      106800000000           0                      0                      0.400000        71.200000      
69     270375000000              108150000000              0                      108150000000           0                      0                      0.400000        72.100000      
70     273750000000              109500000000              0                      109500000000           0                      0                      0.400000        73.000000      
71     277125000000              110850000000              0                      110850000000           0                      0                      0.400000        73.900000      
72     280500000000              112200000000              0                      112200000000           0                      0                      0.400000        74.800000      
73     283875000000              113550000000              0                      113550000000           0                      0                      0.400000        75.700000      
74     287250000000              114900000000              0                      114900000000           0                      0                      0.400000        76.600000      
75     290625000000              116250000000              0                      116250000000           0                      0                      0.400000        77.500000      
76     294000000000              117600000000              0                      117600000000           0                      0                      0.400000        78.400000      
77     297375000000              118950000000              0                      118950000000           0                      0                      0.400000        79.300000      
78     300750000000              60150000000               0                      60150000000            0                      0                      0.200000        80.200000      
79     304125000000              60825000000               0                      60825000000            0                      0                      0.200000        81.100000      
80     307500000000              61500000000               0                      61500000000            0                      0                      0.200000        82.000000      
