time   required_computation      processed_computation     high_level_computation access_server_computation  level_2_computation    level_3_computation    efficiency      changing_factor
1      40875000000               40875000000               0                      40875000000            0                      0                      1.000000        10.900000      
2      44250000000               44250000000               0                      44250000000            0                      0                      1.000000        11.800000      
3      47625000000               47625000000               0                      47625000000            0                      0                      1.000000        12.700000      
4      51000000000               51000000000               0                      51000000000            0                      0                      1.000000        13.600000      
5      54375000000               54375000000               0                      54375000000            0                      0                      1.000000        14.500000      
6      57750000000               57750000000               0                      57750000000            0                      0                      1.000000        15.400000      
7      61125000000               61125000000               0                      61125000000            0                      0                      1.000000        16.300000      
8      64500000000               64500000000               0                      64500000000            0                      0                      1.000000        17.200000      
9      67875000000               67875000000               0                      67875000000            0                      0                      1.000000        18.100000      
10     71250000000               71250000000               0                      71250000000            0                      0                      1.000000        19.000000      
11     74625000000               74625000000               0                      74625000000            0                      0                      1.000000        19.900000      
12     78000000000               78000000000               0                      78000000000            0                      0                      1.000000        20.800000      
13     81375000000               81375000000               0                      81375000000            0                      0                      1.000000        21.700000      
14     84750000000               84750000000               0                      84750000000            0                      0                      1.000000        22.600000      
15     88125000000               88125000000               0                      88125000000            0                      0                      1.000000        23.500000      
16     91500000000               91500000000               0                      91500000000            0                      0                      1.000000        24.400000      
17     94875000000               94875000000               0                      94875000000            0                      0                      1.000000        25.300000      
18     98250000000               98250000000               0                      98250000000            0                      0                      1.000000        26.200000      
19     101625000000              101625000000              0                      101625000000           0                      0                      1.000000        27.100000      
20     105000000000              105000000000              0                      105000000000           0                      0                      1.000000        28.000000      
21     108375000000              108375000000              0                      108375000000           0                      0                      1.000000        28.900000      
22     111750000000              111750000000              0                      111750000000           0                      0                      1.000000        29.800000      
23     115125000000              115125000000              0                      115125000000           0                      0                      1.000000        30.700000      
24     118500000000              118500000000              0                      118500000000           0                      0                      1.000000        31.600000      
25     121875000000              121875000000              1875000000             120000000000           0                      1875000000             1.000000        32.500000      
26     125250000000              125250000000              5250000000             120000000000           0                      5250000000             1.000000        33.400000      
27     128625000000              128625000000              8625000000             120000000000           0                      8625000000             1.000000        34.300000      
28     132000000000              132000000000              12000000000            120000000000           0                      12000000000            1.000000        35.200000      
29     135375000000              135375000000              15375000000            120000000000           0                      15375000000            1.000000        36.100000      
30     138750000000              138000000000              18000000000            120000000000           0                      18000000000            0.994595        37.000000      
31     142125000000              138000000000              18000000000            120000000000           0                      18000000000            0.970976        37.900000      
32     145500000000              138000000000              18000000000            120000000000           0                      18000000000            0.948454        38.800000      
33     148875000000              138000000000              18000000000            120000000000           0                      18000000000            0.926952        39.700000      
34     152250000000              138000000000              18000000000            120000000000           0                      18000000000            0.906404        40.600000      
35     155625000000              138000000000              18000000000            120000000000           0                      18000000000            0.886747        41.500000      
36     159000000000              138000000000              18000000000            120000000000           0                      18000000000            0.867925        42.400000      
37     162375000000              138000000000              18000000000            120000000000           0                      18000000000            0.849885        43.300000      
38     165750000000              138000000000              18000000000            120000000000           0                      18000000000            0.832579        44.200000      
39     169125000000              138000000000              18000000000            120000000000           0                      18000000000            0.815965        45.100000      
40     172500000000              138000000000              18000000000            120000000000           0                      18000000000            0.800000        46.000000      
41     175875000000              138000000000              18000000000            120000000000           0                      18000000000            0.784648        46.900000      
42     179250000000              138000000000              18000000000            120000000000           0                      18000000000            0.769874        47.800000      
43     182625000000              138000000000              18000000000            120000000000           0                      18000000000            0.755647        48.700000      
44     186000000000              138000000000              18000000000            120000000000           0                      18000000000            0.741935        49.600000      
45     189375000000              138000000000              18000000000            120000000000           0                      18000000000            0.728713        50.500000      
46     192750000000              138000000000              18000000000            120000000000           0                      18000000000            0.715953        51.400000      
47     196125000000              138000000000              18000000000            120000000000           0                      18000000000            0.703633        52.300000      
48     199500000000              138000000000              18000000000            120000000000           0                      18000000000            0.691729        53.200000      
49     202875000000              138000000000              18000000000            120000000000           0                      18000000000            0.680222        54.100000      
50     206250000000              138000000000              18000000000            120000000000           0                      18000000000            0.669091        55.000000      
51     209625000000              138000000000              18000000000            120000000000           0                      18000000000            0.658318        55.900000      
52     213000000000              138000000000              18000000000            120000000000           0                      18000000000            0.647887        56.800000      
53     216375000000              138000000000              18000000000            120000000000           0                      18000000000            0.637782        57.700000      
54     219750000000              138000000000              18000000000            120000000000           0                      18000000000            0.627986        58.600000      
55     223125000000              138000000000              18000000000            120000000000           0                      18000000000            0.618487        59.500000      
56     226500000000              108600000000              18000000000            90600000000            0                      18000000000            0.479470        60.400000      
57     229875000000              109950000000              18000000000            91950000000            0                      18000000000            0.478303        61.300000      
58     233250000000              111300000000              18000000000            93300000000            0                      18000000000            0.477170        62.200000      
59     236625000000              112650000000              18000000000            94650000000            0                      18000000000            0.476070        63.100000      
60     240000000000              114000000000              18000000000            96000000000            0                      18000000000            0.475000        64.000000      
61     243375000000              115350000000              18000000000            97350000000            0                      18000000000            0.473960        64.900000      
62     246750000000              116700000000              18000000000            98700000000            0                      18000000000            0.472948        65.800000      
63     250125000000              118050000000              18000000000            100050000000           0                      18000000000            0.471964        66.700000      
64     253500000000              119400000000              18000000000            101400000000           0                      18000000000            0.471006        67.600000      
65     256875000000              120750000000              18000000000            102750000000           0                      18000000000            0.470073        68.500000      
66     260250000000              122100000000              18000000000            104100000000           0                      18000000000            0.469164        69.400000      
67     263625000000              123450000000              18000000000            105450000000           0                      18000000000            0.468279        70.300000      
68     267000000000              124800000000              18000000000            106800000000           0                      18000000000            0.467416        71.200000      
69     270375000000              126150000000              18000000000            108150000000           0                      18000000000            0.466574        72.100000      
70     273750000000              127500000000              18000000000            109500000000           0                      18000000000            0.465753        73.000000      
71     277125000000              128850000000              18000000000            110850000000           0                      18000000000            0.464953        73.900000      
72     280500000000              130200000000              18000000000            112200000000           0                      18000000000            0.464171        74.800000      
73     283875000000              131550000000              18000000000            113550000000           0                      18000000000            0.463408        75.700000      
74     287250000000              132900000000              18000000000            114900000000           0                      18000000000            0.462663        76.600000      
75     290625000000              134250000000              18000000000            116250000000           0                      18000000000            0.461935        77.500000      
