time   required_computation      processed_computation     high_level_computation access_server_computation  level_2_computation    level_3_computation    efficiency      changing_factor
1      54500000000               54500000000               0                      54500000000            0                      0                      1.000000        10.900000      
2      59000000000               59000000000               0                      59000000000            0                      0                      1.000000        11.800000      
3      63500000000               63500000000               0                      63500000000            0                      0                      1.000000        12.700000      
4      68000000000               68000000000               0                      68000000000            0                      0                      1.000000        13.600000      
5      72500000000               72500000000               0                      72500000000            0                      0                      1.000000        14.500000      
6      77000000000               77000000000               0                      77000000000            0                      0                      1.000000        15.400000      
7      81500000000               81500000000               0                      81500000000            0                      0                      1.000000        16.300000      
8      86000000000               86000000000               0                      86000000000            0                      0                      1.000000        17.200000      
9      90500000000               90500000000               0                      90500000000            0                      0                      1.000000        18.100000      
10     95000000000               95000000000               0                      95000000000            0                      0                      1.000000        19.000000      
11     99500000000               99500000000               0                      99500000000            0                      0                      1.000000        19.900000      
12     104000000000              104000000000              0                      104000000000           0                      0                      1.000000        20.800000      
13     108500000000              108500000000              0                      108500000000           0                      0                      1.000000        21.700000      
14     113000000000              113000000000              0                      113000000000           0                      0                      1.000000        22.600000      
15     117500000000              117500000000              0                      117500000000           0                      0                      1.000000        23.500000      
16     122000000000              122000000000              2000000000             120000000000           0                      2000000000             1.000000        24.400000      
17     126500000000              126500000000              6500000000             120000000000           2530000000             3970000000             1.000000        25.300000      
18     131000000000              131000000000              11000000000            120000000000           0                      11000000000            1.000000        26.200000      
19     135500000000              135500000000              15500000000            120000000000           0                      15500000000            1.000000        27.100000      
20     140000000000              140000000000              20000000000            120000000000           1400000000             18600000000            1.000000        28.000000      
21     144500000000              144500000000              24500000000            120000000000           5055000000             19445000000            1.000000        28.900000      
22     149000000000              149000000000              29000000000            120000000000           0                      29000000000            1.000000        29.800000      
23     153500000000              153500000000              33500000000            120000000000           0                      33500000000            1.000000        30.700000      
24     158000000000              158000000000              38000000000            120000000000           3160000000             34840000000            1.000000        31.600000      
25     162500000000              162500000000              42500000000            120000000000           3250000000             39250000000            1.000000        32.500000      
26     167000000000              167000000000              47000000000            120000000000           5010000000             41990000000            1.000000        33.400000      
27     171500000000              171500000000              51500000000            120000000000           19205000000            32295000000            1.000000        34.300000      
28     176000000000              176000000000              56000000000            120000000000           14240000000            41760000000            1.000000        35.200000      
29     180500000000              180500000000              60500000000            120000000000           6500000000             54000000000            1.000000        36.100000      
30     185000000000              185000000000              65000000000            120000000000           14400000000            50600000000            1.000000        37.000000      
31     189500000000              189500000000              69500000000            120000000000           15500000000            54000000000            1.000000        37.900000      
32     194000000000              194000000000              74000000000            120000000000           36000000000            38000000000            1.000000        38.800000      
33     198500000000              198500000000              78500000000            120000000000           24500000000            54000000000            1.000000        39.700000      
34     203000000000              203000000000              83000000000            120000000000           29000000000            54000000000            1.000000        40.600000      
35     207500000000              207500000000              87500000000            120000000000           33500000000            54000000000            1.000000        41.500000      
36     212000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.990566        42.400000      
37     216500000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.969977        43.300000      
38     221000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.950226        44.200000      
39     225500000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.931264        45.100000      
40     230000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.913043        46.000000      
41     234500000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.895522        46.900000      
42     239000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.878661        47.800000      
43     243500000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.862423        48.700000      
44     248000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.846774        49.600000      
45     252500000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.831683        50.500000      
46     257000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.817121        51.400000      
47     261500000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.803059        52.300000      
48     266000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.789474        53.200000      
49     270500000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.776340        54.100000      
50     275000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.763636        55.000000      
51     279500000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.751342        55.900000      
52     284000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.739437        56.800000      
53     288500000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.727903        57.700000      
54     293000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.716724        58.600000      
55     297500000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.705882        59.500000      
56     302000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.695364        60.400000      
57     306500000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.685155        61.300000      
58     311000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.675241        62.200000      
59     315500000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.665610        63.100000      
60     320000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.656250        64.000000      
61     324500000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.647149        64.900000      
62     329000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.638298        65.800000      
63     333500000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.629685        66.700000      
64     338000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.621302        67.600000      
65     342500000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.613139        68.500000      
66     347000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.605187        69.400000      
67     351500000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.597440        70.300000      
68     356000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.589888        71.200000      
69     360500000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.582524        72.100000      
70     365000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.575342        73.000000      
71     369500000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.568336        73.900000      
72     374000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.561497        74.800000      
73     378500000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.554822        75.700000      
74     383000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.548303        76.600000      
75     387500000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.541935        77.500000      
76     392000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.535714        78.400000      
77     396500000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.529634        79.300000      
78     401000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.523691        80.200000      
79     405500000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.517879        81.100000      
80     410000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.512195        82.000000      
81     414500000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.506634        82.900000      
82     419000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.501193        83.800000      
83     423500000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.495868        84.700000      
84     428000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.490654        85.600000      
85     432500000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.485549        86.500000      
86     437000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.480549        87.400000      
87     441500000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.475651        88.300000      
88     446000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.470852        89.200000      
89     450500000000              90000000000               90000000000            0                      36000000000            54000000000            0.199778        90.100000      
90     455000000000              90000000000               90000000000            0                      36000000000            54000000000            0.197802        91.000000      
91     459500000000              90000000000               90000000000            0                      36000000000            54000000000            0.195865        91.900000      
92     464000000000              90000000000               90000000000            0                      36000000000            54000000000            0.193966        92.800000      
93     468500000000              90000000000               90000000000            0                      36000000000            54000000000            0.192102        93.700000      
94     473000000000              90000000000               90000000000            0                      36000000000            54000000000            0.190275        94.600000      
