time   required_computation      processed_computation     high_level_computation access_server_computation  level_2_computation    level_3_computation    efficiency      changing_factor
1      150000000000              0                         0                      0                      0                      0                      0.000000        0.001390       
2      150000000000              0                         0                      0                      0                      0                      0.000000        0.001780       
3      150000000000              0                         0                      0                      0                      0                      0.000000        0.002170       
4      150000000000              0                         0                      0                      0                      0                      0.000000        0.002560       
5      150000000000              0                         0                      0                      0                      0                      0.000000        0.002950       
6      150000000000              10000000000               0                      10000000000            0                      0                      0.066667        0.003340       
7      150000000000              10000000000               0                      10000000000            0                      0                      0.066667        0.003730       
8      150000000000              10000000000               0                      10000000000            0                      0                      0.066667        0.004120       
9      150000000000              10000000000               0                      10000000000            0                      0                      0.066667        0.004510       
10     150000000000              10000000000               0                      10000000000            0                      0                      0.066667        0.004900       
11     150000000000              10000000000               0                      10000000000            0                      0                      0.066667        0.005290       
12     150000000000              10000000000               0                      10000000000            0                      0                      0.066667        0.005680       
13     150000000000              10000000000               0                      10000000000            0                      0                      0.066667        0.006070       
14     150000000000              10000000000               0                      10000000000            0                      0                      0.066667        0.006460       
15     150000000000              30000000000               0                      30000000000            0                      0                      0.200000        0.006850       
16     150000000000              30000000000               0                      30000000000            0                      0                      0.200000        0.007240       
17     150000000000              30000000000               0                      30000000000            0                      0                      0.200000        0.007630       
18     150000000000              30000000000               0                      30000000000            0                      0                      0.200000        0.008020       
19     150000000000              30000000000               0                      30000000000            0                      0                      0.200000        0.008410       
20     150000000000              30000000000               0                      30000000000            0                      0                      0.200000        0.008800       
21     150000000000              30000000000               0                      30000000000            0                      0                      0.200000        0.009190       
22     150000000000              30000000000               0                      30000000000            0                      0                      0.200000        0.009580       
23     150000000000              30000000000               0                      30000000000            0                      0                      0.200000        0.009970       
24     150000000000              60000000000               0                      60000000000            0                      0                      0.400000        0.010360       
25     150000000000              60000000000               0                      60000000000            0                      0                      0.400000        0.010750       
26     150000000000              60000000000               0                      60000000000            0                      0                      0.400000        0.011140       
27     150000000000              60000000000               0                      60000000000            0                      0                      0.400000        0.011530       
28     150000000000              60000000000               0                      60000000000            0                      0                      0.400000        0.011920       
29     150000000000              60000000000               0                      60000000000            0                      0                      0.400000        0.012310       
30     150000000000              60000000000               0                      60000000000            0                      0                      0.400000        0.012700       
31     150000000000              60000000000               0                      60000000000            0                      0                      0.400000        0.013090       
32     150000000000              100000000000              0                      100000000000           0                      0                      0.666667        0.013480       
33     150000000000              100000000000              0                      100000000000           0                      0                      0.666667        0.013870       
34     150000000000              100000000000              0                      100000000000           0                      0                      0.666667        0.014260       
35     150000000000              100000000000              0                      100000000000           0                      0                      0.666667        0.014650       
36     150000000000              100000000000              0                      100000000000           0                      0                      0.666667        0.015040       
37     150000000000              100000000000              0                      100000000000           0                      0                      0.666667        0.015430       
38     150000000000              100000000000              0                      100000000000           0                      0                      0.666667        0.015820       
39     150000000000              100000000000              0                      100000000000           0                      0                      0.666667        0.016210       
40     150000000000              100000000000              0                      100000000000           0                      0                      0.666667        0.016600       
41     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.016990       
42     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.017380       
43     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.017770       
44     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.018160       
45     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.018550       
46     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.018940       
47     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.019330       
48     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.019720       
49     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.020110       
50     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.020500       
51     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.020890       
52     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.021280       
53     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.021670       
54     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.022060       
55     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.022450       
56     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.022840       
57     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.023230       
58     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.023620       
59     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.024010       
60     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.024400       
61     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.024790       
62     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.025180       
63     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.025570       
64     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.025960       
65     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.026350       
66     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.026740       
67     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.027130       
68     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.027520       
69     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.027910       
70     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.028300       
71     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.028690       
72     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.029080       
73     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.029470       
74     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.029860       
75     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.030250       
76     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.030640       
77     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.031030       
78     150000000000              120000000000              0                      120000000000           0                      0                      0.800000        0.031420       
