time   required_computation      processed_computation     high_level_computation access_server_computation  level_2_computation    level_3_computation    efficiency      changing_factor
1      172500000000              0                         0                      0                      0                      0                      0.000000        0.001390       
2      172500000000              0                         0                      0                      0                      0                      0.000000        0.001780       
3      172500000000              0                         0                      0                      0                      0                      0.000000        0.002170       
4      172500000000              7500000000                0                      7500000000             0                      0                      0.043478        0.002560       
5      172500000000              7500000000                0                      7500000000             0                      0                      0.043478        0.002950       
6      172500000000              7500000000                0                      7500000000             0                      0                      0.043478        0.003340       
7      172500000000              7500000000                0                      7500000000             0                      0                      0.043478        0.003730       
8      172500000000              7500000000                0                      7500000000             0                      0                      0.043478        0.004120       
9      172500000000              7500000000                0                      7500000000             0                      0                      0.043478        0.004510       
10     172500000000              7500000000                0                      7500000000             0                      0                      0.043478        0.004900       
11     172500000000              22500000000               0                      22500000000            0                      0                      0.130435        0.005290       
12     172500000000              22500000000               0                      22500000000            0                      0                      0.130435        0.005680       
13     172500000000              22500000000               0                      22500000000            0                      0                      0.130435        0.006070       
14     172500000000              22500000000               0                      22500000000            0                      0                      0.130435        0.006460       
15     172500000000              22500000000               0                      22500000000            0                      0                      0.130435        0.006850       
16     172500000000              22500000000               0                      22500000000            0                      0                      0.130435        0.007240       
17     172500000000              22500000000               0                      22500000000            0                      0                      0.130435        0.007630       
18     172500000000              22500000000               0                      22500000000            0                      0                      0.130435        0.008020       
19     172500000000              22500000000               0                      22500000000            0                      0                      0.130435        0.008410       
20     172500000000              22500000000               0                      22500000000            0                      0                      0.130435        0.008800       
21     172500000000              22500000000               0                      22500000000            0                      0                      0.130435        0.009190       
22     172500000000              22500000000               0                      22500000000            0                      0                      0.130435        0.009580       
23     172500000000              22500000000               0                      22500000000            0                      0                      0.130435        0.009970       
24     172500000000              52500000000               0                      52500000000            0                      0                      0.304348        0.010360       
25     172500000000              52500000000               0                      52500000000            0                      0                      0.304348        0.010750       
26     172500000000              52500000000               0                      52500000000            0                      0                      0.304348        0.011140       
27     172500000000              52500000000               0                      52500000000            0                      0                      0.304348        0.011530       
28     172500000000              52500000000               0                      52500000000            0                      0                      0.304348        0.011920       
29     172500000000              52500000000               0                      52500000000            0                      0                      0.304348        0.012310       
30     172500000000              97500000000               45000000000            52500000000            0                      45000000000            0.565217        0.012700       
31     172500000000              97500000000               45000000000            52500000000            0                      45000000000            0.565217        0.013090       
32     172500000000              97500000000               45000000000            52500000000            0                      45000000000            0.565217        0.013480       
