time   required_computation      processed_computation     high_level_computation access_server_computation  level_2_computation    level_3_computation    efficiency      changing_factor
1      64800000000               64800000000               0                      64800000000            0                      0                      1.000000        10.800000      
2      69600000000               69600000000               0                      69600000000            0                      0                      1.000000        11.600000      
3      74400000000               74400000000               0                      74400000000            0                      0                      1.000000        12.400000      
4      79200000000               79200000000               0                      79200000000            0                      0                      1.000000        13.200000      
5      84000000000               84000000000               0                      84000000000            0                      0                      1.000000        14.000000      
6      88800000000               88800000000               0                      88800000000            0                      0                      1.000000        14.800000      
7      93600000000               93600000000               0                      93600000000            0                      0                      1.000000        15.600000      
8      98400000000               98400000000               0                      98400000000            0                      0                      1.000000        16.400000      
9      103200000000              103200000000              0                      103200000000           0                      0                      1.000000        17.200000      
10     108000000000              108000000000              0                      108000000000           0                      0                      1.000000        18.000000      
11     112800000000              112800000000              0                      112800000000           0                      0                      1.000000        18.800000      
12     117600000000              117600000000              0                      117600000000           0                      0                      1.000000        19.600000      
13     122400000000              122400000000              2400000000             120000000000           0                      2400000000             1.000000        20.400000      
14     127200000000              127200000000              7200000000             120000000000           0                      7200000000             1.000000        21.200000      
15     132000000000              132000000000              12000000000            120000000000           0                      12000000000            1.000000        22.000000      
16     136800000000              136800000000              16800000000            120000000000           0                      16800000000            1.000000        22.800000      
17     141600000000              138000000000              18000000000            120000000000           0                      18000000000            0.974576        23.600000      
18     146400000000              138000000000              18000000000            120000000000           0                      18000000000            0.942623        24.400000      
19     151200000000              138000000000              18000000000            120000000000           0                      18000000000            0.912698        25.200000      
20     156000000000              138000000000              18000000000            120000000000           0                      18000000000            0.884615        26.000000      
21     160800000000              138000000000              18000000000            120000000000           0                      18000000000            0.858209        26.800000      
22     165600000000              138000000000              18000000000            120000000000           0                      18000000000            0.833333        27.600000      
23     170400000000              138000000000              18000000000            120000000000           0                      18000000000            0.809859        28.400000      
24     175200000000              138000000000              18000000000            120000000000           0                      18000000000            0.787671        29.200000      
25     180000000000              138000000000              18000000000            120000000000           0                      18000000000            0.766667        30.000000      
26     184800000000              138000000000              18000000000            120000000000           0                      18000000000            0.746753        30.800000      
27     189600000000              138000000000              18000000000            120000000000           0                      18000000000            0.727848        31.600000      
28     194400000000              138000000000              18000000000            120000000000           0                      18000000000            0.709877        32.400000      
29     199200000000              138000000000              18000000000            120000000000           0                      18000000000            0.692771        33.200000      
30     204000000000              138000000000              18000000000            120000000000           0                      18000000000            0.676471        34.000000      
31     208800000000              138000000000              18000000000            120000000000           0                      18000000000            0.660920        34.800000      
32     213600000000              138000000000              18000000000            120000000000           0                      18000000000            0.646067        35.600000      
33     218400000000              138000000000              18000000000            120000000000           0                      18000000000            0.631868        36.400000      
34     223200000000              138000000000              18000000000            120000000000           0                      18000000000            0.618280        37.200000      
35     228000000000              138000000000              18000000000            120000000000           0                      18000000000            0.605263        38.000000      
36     232800000000              138000000000              18000000000            120000000000           0                      18000000000            0.592784        38.800000      
37     237600000000              138000000000              18000000000            120000000000           0                      18000000000            0.580808        39.600000      
38     242400000000              138000000000              18000000000            120000000000           0                      18000000000            0.569307        40.400000      
39     247200000000              138000000000              18000000000            120000000000           0                      18000000000            0.558252        41.200000      
40     252000000000              138000000000              18000000000            120000000000           0                      18000000000            0.547619        42.000000      
41     256800000000              138000000000              18000000000            120000000000           0                      18000000000            0.537383        42.800000      
42     261600000000              138000000000              18000000000            120000000000           0                      18000000000            0.527523        43.600000      
43     266400000000              138000000000              18000000000            120000000000           0                      18000000000            0.518018        44.400000      
44     271200000000              138000000000              18000000000            120000000000           0                      18000000000            0.508850        45.200000      
45     276000000000              138000000000              18000000000            120000000000           0                      18000000000            0.500000        46.000000      
46     280800000000              138000000000              18000000000            120000000000           0                      18000000000            0.491453        46.800000      
47     285600000000              138000000000              18000000000            120000000000           0                      18000000000            0.483193        47.600000      
48     290400000000              138000000000              18000000000            120000000000           0                      18000000000            0.475207        48.400000      
49     295200000000              138000000000              18000000000            120000000000           0                      18000000000            0.467480        49.200000      
50     300000000000              138000000000              18000000000            120000000000           0                      18000000000            0.460000        50.000000      
51     304800000000              138000000000              18000000000            120000000000           0                      18000000000            0.452756        50.800000      
52     309600000000              138000000000              18000000000            120000000000           0                      18000000000            0.445736        51.600000      
