time   required_computation      processed_computation     high_level_computation access_server_computation  level_2_computation    level_3_computation    efficiency      changing_factor
1      74520000000               74520000000               32400000000            42120000000            0                      32400000000            1.000000        10.800000      
2      80040000000               80040000000               34800000000            45240000000            0                      34800000000            1.000000        11.600000      
3      85560000000               85560000000               37200000000            48360000000            0                      37200000000            1.000000        12.400000      
4      91080000000               91080000000               39600000000            51480000000            0                      39600000000            1.000000        13.200000      
5      96600000000               96600000000               42000000000            54600000000            0                      42000000000            1.000000        14.000000      
6      102120000000              102120000000              44400000000            57720000000            0                      44400000000            1.000000        14.800000      
7      107640000000              107640000000              46800000000            60840000000            0                      46800000000            1.000000        15.600000      
8      113160000000              113160000000              49200000000            63960000000            0                      49200000000            1.000000        16.400000      
9      118680000000              118680000000              51600000000            67080000000            0                      51600000000            1.000000        17.200000      
10     124200000000              124200000000              54000000000            70200000000            0                      54000000000            1.000000        18.000000      
11     129720000000              127320000000              54000000000            73320000000            0                      54000000000            0.981499        18.800000      
12     135240000000              130440000000              54000000000            76440000000            0                      54000000000            0.964508        19.600000      
13     140760000000              133560000000              54000000000            79560000000            0                      54000000000            0.948849        20.400000      
14     146280000000              136680000000              54000000000            82680000000            0                      54000000000            0.934372        21.200000      
15     151800000000              139800000000              54000000000            85800000000            0                      54000000000            0.920949        22.000000      
16     157320000000              142920000000              54000000000            88920000000            0                      54000000000            0.908467        22.800000      
17     162840000000              146040000000              54000000000            92040000000            0                      54000000000            0.896831        23.600000      
18     168360000000              149160000000              54000000000            95160000000            0                      54000000000            0.885959        24.400000      
19     173880000000              152280000000              54000000000            98280000000            0                      54000000000            0.875776        25.200000      
20     179400000000              155400000000              54000000000            101400000000           0                      54000000000            0.866221        26.000000      
21     184920000000              158520000000              54000000000            104520000000           0                      54000000000            0.857236        26.800000      
22     190440000000              161640000000              54000000000            107640000000           0                      54000000000            0.848771        27.600000      
23     195960000000              164760000000              54000000000            110760000000           0                      54000000000            0.840784        28.400000      
24     201480000000              167880000000              54000000000            113880000000           0                      54000000000            0.833234        29.200000      
25     207000000000              171000000000              54000000000            117000000000           0                      54000000000            0.826087        30.000000      
26     212520000000              174120000000              54120000000            120000000000           120000000              54000000000            0.819311        30.800000      
27     218040000000              177240000000              57240000000            120000000000           3240000000             54000000000            0.812878        31.600000      
28     223560000000              180360000000              60360000000            120000000000           6360000000             54000000000            0.806763        32.400000      
29     229080000000              183480000000              63480000000            120000000000           9480000000             54000000000            0.800943        33.200000      
30     234600000000              186600000000              66600000000            120000000000           12600000000            54000000000            0.795396        34.000000      
31     240120000000              189720000000              69720000000            120000000000           15720000000            54000000000            0.790105        34.800000      
32     245640000000              192840000000              72840000000            120000000000           18840000000            54000000000            0.785051        35.600000      
33     251160000000              195960000000              75960000000            120000000000           21960000000            54000000000            0.780220        36.400000      
34     256680000000              199080000000              79080000000            120000000000           25080000000            54000000000            0.775596        37.200000      
35     262200000000              202200000000              82200000000            120000000000           28200000000            54000000000            0.771167        38.000000      
36     267720000000              205320000000              85320000000            120000000000           31320000000            54000000000            0.766921        38.800000      
37     273240000000              208440000000              88440000000            120000000000           34440000000            54000000000            0.762846        39.600000      
38     278760000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.753336        40.400000      
39     284280000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.738708        41.200000      
40     289800000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.724638        42.000000      
41     295320000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.711093        42.800000      
42     300840000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.698045        43.600000      
43     306360000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.685468        44.400000      
44     311880000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.673336        45.200000      
45     317400000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.661626        46.000000      
46     322920000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.650316        46.800000      
47     328440000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.639386        47.600000      
48     333960000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.628818        48.400000      
49     339480000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.618593        49.200000      
50     345000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.608696        50.000000      
51     350520000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.599110        50.800000      
52     356040000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.589821        51.600000      
53     361560000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.580816        52.400000      
54     367080000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.572082        53.200000      
55     372600000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.563607        54.000000      
56     378120000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.555379        54.800000      
57     383640000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.547388        55.600000      
58     389160000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.539624        56.400000      
59     394680000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.532077        57.200000      
60     400200000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.524738        58.000000      
61     405720000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.517598        58.800000      
62     411240000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.510651        59.600000      
63     416760000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.503887        60.400000      
64     422280000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.497300        61.200000      
65     427800000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.490884        62.000000      
66     433320000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.484630        62.800000      
67     438840000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.478534        63.600000      
68     444360000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.472590        64.400000      
69     449880000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.466791        65.200000      
70     455400000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.461133        66.000000      
71     460920000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.455611        66.800000      
72     466440000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.450219        67.600000      
73     471960000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.444953        68.400000      
74     477480000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.439809        69.200000      
75     483000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.434783        70.000000      
76     488520000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.429870        70.800000      
77     494040000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.425067        71.600000      
78     499560000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.420370        72.400000      
79     505080000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.415776        73.200000      
80     510600000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.411281        74.000000      
81     516120000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.406882        74.800000      
82     521640000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.402576        75.600000      
