time   required_computation      processed_computation     high_level_computation access_server_computation  level_2_computation    level_3_computation    efficiency      changing_factor
1      99360000000               56160000000               0                      56160000000            0                      0                      0.565217        10.800000      
2      106720000000              60320000000               0                      60320000000            0                      0                      0.565217        11.600000      
3      114080000000              64480000000               0                      64480000000            0                      0                      0.565217        12.400000      
4      121440000000              68640000000               0                      68640000000            0                      0                      0.565217        13.200000      
5      128800000000              72800000000               0                      72800000000            0                      0                      0.565217        14.000000      
6      136160000000              76960000000               0                      76960000000            0                      0                      0.565217        14.800000      
7      143520000000              81120000000               0                      81120000000            0                      0                      0.565217        15.600000      
8      150880000000              85280000000               0                      85280000000            0                      0                      0.565217        16.400000      
9      158240000000              89440000000               0                      89440000000            0                      0                      0.565217        17.200000      
10     165600000000              93600000000               0                      93600000000            0                      0                      0.565217        18.000000      
11     172960000000              97760000000               0                      97760000000            0                      0                      0.565217        18.800000      
12     180320000000              101920000000              0                      101920000000           0                      0                      0.565217        19.600000      
13     187680000000              106080000000              0                      106080000000           0                      0                      0.565217        20.400000      
14     195040000000              110240000000              0                      110240000000           0                      0                      0.565217        21.200000      
15     202400000000              114400000000              0                      114400000000           0                      0                      0.565217        22.000000      
16     209760000000              118560000000              0                      118560000000           0                      0                      0.565217        22.800000      
17     217120000000              120000000000              0                      120000000000           0                      0                      0.552690        23.600000      
18     224480000000              120000000000              0                      120000000000           0                      0                      0.534569        24.400000      
19     231840000000              120000000000              0                      120000000000           0                      0                      0.517598        25.200000      
20     239200000000              120000000000              0                      120000000000           0                      0                      0.501672        26.000000      
21     246560000000              120000000000              0                      120000000000           0                      0                      0.486697        26.800000      
22     253920000000              120000000000              0                      120000000000           0                      0                      0.472590        27.600000      
23     261280000000              120000000000              0                      120000000000           0                      0                      0.459277        28.400000      
24     268640000000              120000000000              0                      120000000000           0                      0                      0.446694        29.200000      
25     276000000000              120000000000              0                      120000000000           0                      0                      0.434783        30.000000      
26     283360000000              120000000000              0                      120000000000           0                      0                      0.423490        30.800000      
27     290720000000              120000000000              0                      120000000000           0                      0                      0.412768        31.600000      
28     298080000000              120000000000              0                      120000000000           0                      0                      0.402576        32.400000      
