time   required_computation      processed_computation     high_level_computation access_server_computation  level_2_computation    level_3_computation    efficiency      changing_factor
1      150000000000              146775000000              26775000000            120000000000           0                      26775000000            0.978500        10.750000      
2      150000000000              146550000000              26550000000            120000000000           0                      26550000000            0.977000        11.500000      
3      150000000000              146325000000              26325000000            120000000000           0                      26325000000            0.975500        12.250000      
4      150000000000              146100000000              26100000000            120000000000           0                      26100000000            0.974000        13.000000      
5      150000000000              145875000000              25875000000            120000000000           0                      25875000000            0.972500        13.750000      
6      150000000000              145650000000              25650000000            120000000000           0                      25650000000            0.971000        14.500000      
7      150000000000              145425000000              25425000000            120000000000           0                      25425000000            0.969500        15.250000      
8      150000000000              145200000000              25200000000            120000000000           0                      25200000000            0.968000        16.000000      
9      150000000000              144975000000              24975000000            120000000000           0                      24975000000            0.966500        16.750000      
10     150000000000              144750000000              24750000000            120000000000           0                      24750000000            0.965000        17.500000      
11     150000000000              144525000000              24525000000            120000000000           0                      24525000000            0.963500        18.250000      
12     150000000000              144300000000              24300000000            120000000000           0                      24300000000            0.962000        19.000000      
13     150000000000              144075000000              24075000000            120000000000           0                      24075000000            0.960500        19.750000      
14     150000000000              143850000000              23850000000            120000000000           0                      23850000000            0.959000        20.500000      
15     150000000000              143625000000              23625000000            120000000000           0                      23625000000            0.957500        21.250000      
16     150000000000              143400000000              23400000000            120000000000           0                      23400000000            0.956000        22.000000      
17     150000000000              143175000000              23175000000            120000000000           0                      23175000000            0.954500        22.750000      
18     150000000000              142950000000              22950000000            120000000000           0                      22950000000            0.953000        23.500000      
19     150000000000              142725000000              22725000000            120000000000           0                      22725000000            0.951500        24.250000      
20     150000000000              142500000000              22500000000            120000000000           0                      22500000000            0.950000        25.000000      
21     150000000000              142275000000              22275000000            120000000000           0                      22275000000            0.948500        25.750000      
22     150000000000              142050000000              22050000000            120000000000           0                      22050000000            0.947000        26.500000      
23     150000000000              141825000000              21825000000            120000000000           0                      21825000000            0.945500        27.250000      
24     150000000000              141600000000              21600000000            120000000000           0                      21600000000            0.944000        28.000000      
25     150000000000              141375000000              21375000000            120000000000           0                      21375000000            0.942500        28.750000      
26     150000000000              141150000000              21150000000            120000000000           0                      21150000000            0.941000        29.500000      
27     150000000000              140925000000              20925000000            120000000000           0                      20925000000            0.939500        30.250000      
28     150000000000              140700000000              20700000000            120000000000           0                      20700000000            0.938000        31.000000      
29     150000000000              140475000000              20475000000            120000000000           0                      20475000000            0.936500        31.750000      
30     150000000000              140250000000              20250000000            120000000000           0                      20250000000            0.935000        32.500000      
31     150000000000              140025000000              20025000000            120000000000           0                      20025000000            0.933500        33.250000      
32     150000000000              139800000000              19800000000            120000000000           0                      19800000000            0.932000        34.000000      
