time   required_computation      processed_computation     high_level_computation access_server_computation  level_2_computation    level_3_computation    efficiency      changing_factor
1      230000000000              230000000000              110000000000           120000000000           42840000000            67160000000            1.000000        10.750000      
2      230000000000              230000000000              110000000000           120000000000           31860000000            78140000000            1.000000        11.500000      
3      230000000000              230000000000              110000000000           120000000000           52650000000            57350000000            1.000000        12.250000      
4      230000000000              230000000000              110000000000           120000000000           41760000000            68240000000            1.000000        13.000000      
5      230000000000              230000000000              110000000000           120000000000           32375000000            77625000000            1.000000        13.750000      
6      230000000000              230000000000              110000000000           120000000000           51300000000            58700000000            1.000000        14.500000      
7      230000000000              230000000000              110000000000           120000000000           33725000000            76275000000            1.000000        15.250000      
8      230000000000              230000000000              110000000000           120000000000           50400000000            59600000000            1.000000        16.000000      
9      230000000000              230000000000              110000000000           120000000000           49950000000            60050000000            1.000000        16.750000      
10     230000000000              230000000000              110000000000           120000000000           39600000000            70400000000            1.000000        17.500000      
11     230000000000              230000000000              110000000000           120000000000           36425000000            73575000000            1.000000        18.250000      
12     230000000000              230000000000              110000000000           120000000000           48600000000            61400000000            1.000000        19.000000      
13     230000000000              230000000000              110000000000           120000000000           48150000000            61850000000            1.000000        19.750000      
14     230000000000              230000000000              110000000000           120000000000           38450000000            71550000000            1.000000        20.500000      
15     230000000000              230000000000              110000000000           120000000000           42800000000            67200000000            1.000000        21.250000      
16     230000000000              230000000000              110000000000           120000000000           46800000000            63200000000            1.000000        22.000000      
17     230000000000              230000000000              110000000000           120000000000           40475000000            69525000000            1.000000        22.750000      
18     230000000000              230000000000              110000000000           120000000000           41150000000            68850000000            1.000000        23.500000      
19     230000000000              230000000000              110000000000           120000000000           45450000000            64550000000            1.000000        24.250000      
20     230000000000              230000000000              110000000000           120000000000           42500000000            67500000000            1.000000        25.000000      
21     230000000000              230000000000              110000000000           120000000000           43175000000            66825000000            1.000000        25.750000      
22     230000000000              230000000000              110000000000           120000000000           43850000000            66150000000            1.000000        26.500000      
23     230000000000              229125000000              109125000000           120000000000           43650000000            65475000000            0.996196        27.250000      
24     230000000000              228000000000              108000000000           120000000000           43200000000            64800000000            0.991304        28.000000      
25     230000000000              226875000000              106875000000           120000000000           42750000000            64125000000            0.986413        28.750000      
26     230000000000              225750000000              105750000000           120000000000           42300000000            63450000000            0.981522        29.500000      
27     230000000000              224625000000              104625000000           120000000000           41850000000            62775000000            0.976630        30.250000      
28     230000000000              223500000000              103500000000           120000000000           41400000000            62100000000            0.971739        31.000000      
29     230000000000              222375000000              102375000000           120000000000           40950000000            61425000000            0.966848        31.750000      
30     230000000000              221250000000              101250000000           120000000000           40500000000            60750000000            0.961957        32.500000      
31     230000000000              220125000000              100125000000           120000000000           40050000000            60075000000            0.957065        33.250000      
32     230000000000              219000000000              99000000000            120000000000           39600000000            59400000000            0.952174        34.000000      
33     230000000000              217875000000              97875000000            120000000000           39150000000            58725000000            0.947283        34.750000      
34     230000000000              216750000000              96750000000            120000000000           38700000000            58050000000            0.942391        35.500000      
35     230000000000              215625000000              95625000000            120000000000           38250000000            57375000000            0.937500        36.250000      
36     230000000000              214500000000              94500000000            120000000000           37800000000            56700000000            0.932609        37.000000      
37     230000000000              213375000000              93375000000            120000000000           37350000000            56025000000            0.927717        37.750000      
38     230000000000              212250000000              92250000000            120000000000           36900000000            55350000000            0.922826        38.500000      
39     230000000000              211125000000              91125000000            120000000000           36450000000            54675000000            0.917935        39.250000      
40     230000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.913043        40.000000      
41     230000000000              208875000000              88875000000            120000000000           35550000000            53325000000            0.908152        40.750000      
42     230000000000              207750000000              87750000000            120000000000           35100000000            52650000000            0.903261        41.500000      
43     230000000000              206625000000              86625000000            120000000000           34650000000            51975000000            0.898370        42.250000      
44     230000000000              205500000000              85500000000            120000000000           34200000000            51300000000            0.893478        43.000000      
45     230000000000              204375000000              84375000000            120000000000           33750000000            50625000000            0.888587        43.750000      
46     230000000000              203250000000              83250000000            120000000000           33300000000            49950000000            0.883696        44.500000      
47     230000000000              202125000000              82125000000            120000000000           32850000000            49275000000            0.878804        45.250000      
48     230000000000              201000000000              81000000000            120000000000           32400000000            48600000000            0.873913        46.000000      
49     230000000000              177925000000              57925000000            120000000000           10000000000            47925000000            0.773587        46.750000      
50     230000000000              177250000000              57250000000            120000000000           10000000000            47250000000            0.770652        47.500000      
51     230000000000              176575000000              56575000000            120000000000           10000000000            46575000000            0.767717        48.250000      
52     230000000000              175900000000              55900000000            120000000000           10000000000            45900000000            0.764783        49.000000      
53     230000000000              175225000000              55225000000            120000000000           10000000000            45225000000            0.761848        49.750000      
54     230000000000              174550000000              54550000000            120000000000           10000000000            44550000000            0.758913        50.500000      
55     230000000000              173875000000              53875000000            120000000000           10000000000            43875000000            0.755978        51.250000      
56     230000000000              173200000000              53200000000            120000000000           10000000000            43200000000            0.753043        52.000000      
57     230000000000              172525000000              52525000000            120000000000           10000000000            42525000000            0.750109        52.750000      
58     230000000000              171850000000              51850000000            120000000000           10000000000            41850000000            0.747174        53.500000      
59     230000000000              171175000000              51175000000            120000000000           10000000000            41175000000            0.744239        54.250000      
