time   required_computation      processed_computation     high_level_computation access_server_computation  level_2_computation    level_3_computation    efficiency      changing_factor
1      230000000000              120000000000              0                      120000000000           0                      0                      0.521739        10.750000      
2      230000000000              120000000000              0                      120000000000           0                      0                      0.521739        11.500000      
3      230000000000              120000000000              0                      120000000000           0                      0                      0.521739        12.250000      
4      230000000000              120000000000              0                      120000000000           0                      0                      0.521739        13.000000      
5      230000000000              120000000000              0                      120000000000           0                      0                      0.521739        13.750000      
6      230000000000              120000000000              0                      120000000000           0                      0                      0.521739        14.500000      
7      230000000000              120000000000              0                      120000000000           0                      0                      0.521739        15.250000      
8      230000000000              120000000000              0                      120000000000           0                      0                      0.521739        16.000000      
9      230000000000              120000000000              0                      120000000000           0                      0                      0.521739        16.750000      
10     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        17.500000      
11     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        18.250000      
12     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        19.000000      
13     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        19.750000      
14     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        20.500000      
15     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        21.250000      
16     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        22.000000      
17     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        22.750000      
18     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        23.500000      
19     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        24.250000      
20     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        25.000000      
21     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        25.750000      
22     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        26.500000      
23     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        27.250000      
24     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        28.000000      
25     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        28.750000      
26     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        29.500000      
27     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        30.250000      
28     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        31.000000      
29     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        31.750000      
30     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        32.500000      
31     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        33.250000      
32     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        34.000000      
33     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        34.750000      
34     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        35.500000      
35     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        36.250000      
36     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        37.000000      
37     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        37.750000      
38     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        38.500000      
39     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        39.250000      
40     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        40.000000      
41     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        40.750000      
42     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        41.500000      
43     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        42.250000      
44     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        43.000000      
45     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        43.750000      
46     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        44.500000      
47     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        45.250000      
48     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        46.000000      
49     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        46.750000      
50     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        47.500000      
51     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        48.250000      
52     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        49.000000      
53     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        49.750000      
54     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        50.500000      
55     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        51.250000      
56     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        52.000000      
57     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        52.750000      
58     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        53.500000      
59     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        54.250000      
60     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        55.000000      
61     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        55.750000      
62     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        56.500000      
63     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        57.250000      
64     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        58.000000      
65     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        58.750000      
66     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        59.500000      
67     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        60.250000      
68     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        61.000000      
69     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        61.750000      
70     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        62.500000      
71     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        63.250000      
72     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        64.000000      
73     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        64.750000      
74     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        65.500000      
75     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        66.250000      
76     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        67.000000      
77     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        67.750000      
78     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        68.500000      
79     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        69.250000      
80     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        70.000000      
81     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        70.750000      
82     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        71.500000      
83     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        72.250000      
84     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        73.000000      
85     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        73.750000      
86     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        74.500000      
87     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        75.250000      
88     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        76.000000      
89     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        76.750000      
90     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        77.500000      
91     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        78.250000      
92     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        79.000000      
93     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        79.750000      
94     230000000000              120000000000              0                      120000000000           0                      0                      0.521739        80.500000      
