time   required_computation      processed_computation     high_level_computation access_server_computation  level_2_computation    level_3_computation    efficiency      changing_factor
1      62675000000               62675000000               0                      62675000000            0                      0                      1.000000        545000.000000  
2      67850000000               67850000000               0                      67850000000            0                      0                      1.000000        590000.000000  
3      73025000000               73025000000               0                      73025000000            0                      0                      1.000000        635000.000000  
4      78200000000               78200000000               0                      78200000000            0                      0                      1.000000        680000.000000  
5      83375000000               83375000000               0                      83375000000            0                      0                      1.000000        725000.000000  
6      88550000000               88550000000               0                      88550000000            0                      0                      1.000000        770000.000000  
7      93725000000               93725000000               0                      93725000000            0                      0                      1.000000        815000.000000  
8      98900000000               98900000000               0                      98900000000            0                      0                      1.000000        860000.000000  
9      104075000000              104075000000              0                      104075000000           0                      0                      1.000000        905000.000000  
10     109250000000              109250000000              0                      109250000000           0                      0                      1.000000        950000.000000  
11     114425000000              114425000000              0                      114425000000           0                      0                      1.000000        995000.000000  
12     119600000000              119600000000              0                      119600000000           0                      0                      1.000000        1040000.000000 
13     124775000000              120000000000              0                      120000000000           0                      0                      0.961731        1085000.000000 
14     129950000000              120000000000              0                      120000000000           0                      0                      0.923432        1130000.000000 
15     135125000000              120000000000              0                      120000000000           0                      0                      0.888067        1175000.000000 
16     140300000000              79300000000               0                      79300000000            0                      0                      0.565217        1220000.000000 
17     145475000000              82225000000               0                      82225000000            0                      0                      0.565217        1265000.000000 
18     150650000000              85150000000               0                      85150000000            0                      0                      0.565217        1310000.000000 
19     155825000000              88075000000               0                      88075000000            0                      0                      0.565217        1355000.000000 
20     161000000000              91000000000               0                      91000000000            0                      0                      0.565217        1400000.000000 
21     166175000000              93925000000               0                      93925000000            0                      0                      0.565217        1445000.000000 
22     171350000000              96850000000               0                      96850000000            0                      0                      0.565217        1490000.000000 
23     176525000000              99775000000               0                      99775000000            0                      0                      0.565217        1535000.000000 
24     181700000000              102700000000              0                      102700000000           0                      0                      0.565217        1580000.000000 
25     186875000000              105625000000              0                      105625000000           0                      0                      0.565217        1625000.000000 
26     192050000000              108550000000              0                      108550000000           0                      0                      0.565217        1670000.000000 
27     197225000000              111475000000              0                      111475000000           0                      0                      0.565217        1715000.000000 
28     202400000000              114400000000              0                      114400000000           0                      0                      0.565217        1760000.000000 
29     207575000000              117325000000              0                      117325000000           0                      0                      0.565217        1805000.000000 
30     212750000000              120000000000              0                      120000000000           0                      0                      0.564042        1850000.000000 
31     217925000000              120000000000              0                      120000000000           0                      0                      0.550648        1895000.000000 
32     223100000000              120000000000              0                      120000000000           0                      0                      0.537875        1940000.000000 
33     228275000000              120000000000              0                      120000000000           0                      0                      0.525682        1985000.000000 
34     233450000000              71050000000               0                      71050000000            0                      0                      0.304348        2030000.000000 
35     238625000000              72625000000               0                      72625000000            0                      0                      0.304348        2075000.000000 
36     243800000000              74200000000               0                      74200000000            0                      0                      0.304348        2120000.000000 
37     248975000000              75775000000               0                      75775000000            0                      0                      0.304348        2165000.000000 
38     254150000000              77350000000               0                      77350000000            0                      0                      0.304348        2210000.000000 
39     259325000000              78925000000               0                      78925000000            0                      0                      0.304348        2255000.000000 
40     264500000000              80500000000               0                      80500000000            0                      0                      0.304348        2300000.000000 
41     269675000000              82075000000               0                      82075000000            0                      0                      0.304348        2345000.000000 
42     274850000000              83650000000               0                      83650000000            0                      0                      0.304348        2390000.000000 
43     280025000000              85225000000               0                      85225000000            0                      0                      0.304348        2435000.000000 
44     285200000000              86800000000               0                      86800000000            0                      0                      0.304348        2480000.000000 
45     290375000000              88375000000               0                      88375000000            0                      0                      0.304348        2525000.000000 
46     295550000000              89950000000               0                      89950000000            0                      0                      0.304348        2570000.000000 
47     300725000000              91525000000               0                      91525000000            0                      0                      0.304348        2615000.000000 
48     305900000000              93100000000               0                      93100000000            0                      0                      0.304348        2660000.000000 
49     311075000000              94675000000               0                      94675000000            0                      0                      0.304348        2705000.000000 
50     316250000000              96250000000               0                      96250000000            0                      0                      0.304348        2750000.000000 
51     321425000000              97825000000               0                      97825000000            0                      0                      0.304348        2795000.000000 
52     326600000000              99400000000               0                      99400000000            0                      0                      0.304348        2840000.000000 
53     331775000000              100975000000              0                      100975000000           0                      0                      0.304348        2885000.000000 
54     336950000000              102550000000              0                      102550000000           0                      0                      0.304348        2930000.000000 
55     342125000000              104125000000              0                      104125000000           0                      0                      0.304348        2975000.000000 
56     347300000000              45300000000               0                      45300000000            0                      0                      0.130435        3020000.000000 
57     352475000000              45975000000               0                      45975000000            0                      0                      0.130435        3065000.000000 
58     357650000000              46650000000               0                      46650000000            0                      0                      0.130435        3110000.000000 
59     362825000000              47325000000               0                      47325000000            0                      0                      0.130435        3155000.000000 
60     368000000000              48000000000               0                      48000000000            0                      0                      0.130435        3200000.000000 
61     373175000000              48675000000               0                      48675000000            0                      0                      0.130435        3245000.000000 
62     378350000000              49350000000               0                      49350000000            0                      0                      0.130435        3290000.000000 
63     383525000000              50025000000               0                      50025000000            0                      0                      0.130435        3335000.000000 
64     388700000000              50700000000               0                      50700000000            0                      0                      0.130435        3380000.000000 
65     393875000000              51375000000               0                      51375000000            0                      0                      0.130435        3425000.000000 
66     399050000000              52050000000               0                      52050000000            0                      0                      0.130435        3470000.000000 
67     404225000000              52725000000               0                      52725000000            0                      0                      0.130435        3515000.000000 
68     409400000000              53400000000               0                      53400000000            0                      0                      0.130435        3560000.000000 
69     414575000000              54075000000               0                      54075000000            0                      0                      0.130435        3605000.000000 
70     419750000000              54750000000               0                      54750000000            0                      0                      0.130435        3650000.000000 
71     424925000000              55425000000               0                      55425000000            0                      0                      0.130435        3695000.000000 
72     430100000000              56100000000               0                      56100000000            0                      0                      0.130435        3740000.000000 
73     435275000000              56775000000               0                      56775000000            0                      0                      0.130435        3785000.000000 
74     440450000000              57450000000               0                      57450000000            0                      0                      0.130435        3830000.000000 
75     445625000000              58125000000               0                      58125000000            0                      0                      0.130435        3875000.000000 
76     450800000000              58800000000               0                      58800000000            0                      0                      0.130435        3920000.000000 
77     455975000000              59475000000               0                      59475000000            0                      0                      0.130435        3965000.000000 
78     461150000000              60150000000               0                      60150000000            0                      0                      0.130435        4010000.000000 
79     466325000000              60825000000               0                      60825000000            0                      0                      0.130435        4055000.000000 
80     471500000000              61500000000               0                      61500000000            0                      0                      0.130435        4100000.000000 
81     476675000000              62175000000               0                      62175000000            0                      0                      0.130435        4145000.000000 
82     481850000000              62850000000               0                      62850000000            0                      0                      0.130435        4190000.000000 
83     487025000000              63525000000               0                      63525000000            0                      0                      0.130435        4235000.000000 
84     492200000000              64200000000               0                      64200000000            0                      0                      0.130435        4280000.000000 
85     497375000000              64875000000               0                      64875000000            0                      0                      0.130435        4325000.000000 
86     502550000000              65550000000               0                      65550000000            0                      0                      0.130435        4370000.000000 
87     507725000000              66225000000               0                      66225000000            0                      0                      0.130435        4415000.000000 
88     512900000000              66900000000               0                      66900000000            0                      0                      0.130435        4460000.000000 
89     518075000000              67575000000               0                      67575000000            0                      0                      0.130435        4505000.000000 
