time   required_computation      processed_computation     high_level_computation access_server_computation  level_2_computation    level_3_computation    efficiency      changing_factor
1      62675000000               62675000000               0                      62675000000            0                      0                      1.000000        545000.000000  
2      67850000000               67850000000               0                      67850000000            0                      0                      1.000000        590000.000000  
3      73025000000               73025000000               0                      73025000000            0                      0                      1.000000        635000.000000  
4      78200000000               78200000000               0                      78200000000            0                      0                      1.000000        680000.000000  
5      83375000000               83375000000               0                      83375000000            0                      0                      1.000000        725000.000000  
6      88550000000               88550000000               0                      88550000000            0                      0                      1.000000        770000.000000  
7      93725000000               93725000000               0                      93725000000            0                      0                      1.000000        815000.000000  
8      98900000000               98900000000               0                      98900000000            0                      0                      1.000000        860000.000000  
9      104075000000              104075000000              0                      104075000000           0                      0                      1.000000        905000.000000  
10     109250000000              109250000000              0                      109250000000           0                      0                      1.000000        950000.000000  
11     114425000000              114425000000              0                      114425000000           0                      0                      1.000000        995000.000000  
12     119600000000              119600000000              0                      119600000000           0                      0                      1.000000        1040000.000000 
13     124775000000              124775000000              4775000000             120000000000           2941250000             1833750000             1.000000        1085000.000000 
14     129950000000              129950000000              9950000000             120000000000           0                      9950000000             1.000000        1130000.000000 
15     135125000000              135125000000              15125000000            120000000000           7862500000             7262500000             1.000000        1175000.000000 
16     140300000000              140300000000              20300000000            120000000000           10460000000            9840000000             1.000000        1220000.000000 
17     145475000000              145475000000              25475000000            120000000000           13607500000            11867500000            1.000000        1265000.000000 
18     150650000000              150650000000              30650000000            120000000000           13100000000            17550000000            1.000000        1310000.000000 
19     155825000000              155825000000              35825000000            120000000000           20325000000            15500000000            1.000000        1355000.000000 
20     161000000000              161000000000              41000000000            120000000000           23500000000            17500000000            1.000000        1400000.000000 
21     166175000000              166175000000              46175000000            120000000000           18037500000            28137500000            1.000000        1445000.000000 
22     171350000000              171350000000              51350000000            120000000000           29000000000            22350000000            1.000000        1490000.000000 
23     176525000000              176525000000              56525000000            120000000000           25948750000            30576250000            1.000000        1535000.000000 
24     181700000000              181700000000              61700000000            120000000000           27900000000            33800000000            1.000000        1580000.000000 
25     186875000000              186875000000              66875000000            120000000000           31087500000            35787500000            1.000000        1625000.000000 
26     192050000000              192050000000              72050000000            120000000000           25152500000            46897500000            1.000000        1670000.000000 
27     197225000000              197225000000              77225000000            120000000000           24501250000            52723750000            1.000000        1715000.000000 
28     202400000000              202400000000              82400000000            120000000000           28800000000            53600000000            1.000000        1760000.000000 
29     207575000000              207325000000              90000000000            117325000000           36000000000            54000000000            0.998796        1805000.000000 
30     212750000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.987074        1850000.000000 
31     217925000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.963634        1895000.000000 
32     223100000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.941282        1940000.000000 
33     228275000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.919943        1985000.000000 
34     233450000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.899550        2030000.000000 
35     238625000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.880042        2075000.000000 
36     243800000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.861362        2120000.000000 
37     248975000000              194725000000              74725000000            120000000000           20725000000            54000000000            0.782107        2165000.000000 
38     254150000000              197650000000              77650000000            120000000000           23650000000            54000000000            0.777690        2210000.000000 
39     259325000000              200575000000              80575000000            120000000000           26575000000            54000000000            0.773450        2255000.000000 
40     264500000000              203500000000              83500000000            120000000000           29500000000            54000000000            0.769376        2300000.000000 
41     269675000000              206425000000              86425000000            120000000000           32425000000            54000000000            0.765458        2345000.000000 
42     274850000000              209350000000              89350000000            120000000000           35350000000            54000000000            0.761688        2390000.000000 
43     280025000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.749933        2435000.000000 
44     285200000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.736325        2480000.000000 
45     290375000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.723203        2525000.000000 
46     295550000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.710540        2570000.000000 
47     300725000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.698312        2615000.000000 
48     305900000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.686499        2660000.000000 
49     311075000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.675078        2705000.000000 
50     316250000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.664032        2750000.000000 
51     321425000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.653341        2795000.000000 
52     326600000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.642988        2840000.000000 
53     331775000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.632959        2885000.000000 
54     336950000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.623238        2930000.000000 
55     342125000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.613811        2975000.000000 
56     347300000000              159700000000              54000000000            105700000000           0                      54000000000            0.459833        3020000.000000 
57     352475000000              161275000000              54000000000            107275000000           0                      54000000000            0.457550        3065000.000000 
58     357650000000              162850000000              54000000000            108850000000           0                      54000000000            0.455333        3110000.000000 
59     362825000000              164425000000              54000000000            110425000000           0                      54000000000            0.453180        3155000.000000 
60     368000000000              166000000000              54000000000            112000000000           0                      54000000000            0.451087        3200000.000000 
61     373175000000              167575000000              54000000000            113575000000           0                      54000000000            0.449052        3245000.000000 
62     378350000000              169150000000              54000000000            115150000000           0                      54000000000            0.447073        3290000.000000 
63     383525000000              170725000000              54000000000            116725000000           0                      54000000000            0.445147        3335000.000000 
64     388700000000              172300000000              54000000000            118300000000           0                      54000000000            0.443272        3380000.000000 
65     393875000000              173875000000              54000000000            119875000000           0                      54000000000            0.441447        3425000.000000 
66     399050000000              175450000000              55450000000            120000000000           1450000000             54000000000            0.439669        3470000.000000 
67     404225000000              177025000000              57025000000            120000000000           3025000000             54000000000            0.437937        3515000.000000 
68     409400000000              178600000000              58600000000            120000000000           4600000000             54000000000            0.436248        3560000.000000 
69     414575000000              180175000000              60175000000            120000000000           6175000000             54000000000            0.434602        3605000.000000 
70     419750000000              181750000000              61750000000            120000000000           7750000000             54000000000            0.432996        3650000.000000 
71     424925000000              183325000000              63325000000            120000000000           9325000000             54000000000            0.431429        3695000.000000 
72     430100000000              184900000000              64900000000            120000000000           10900000000            54000000000            0.429900        3740000.000000 
73     435275000000              186475000000              66475000000            120000000000           12475000000            54000000000            0.428407        3785000.000000 
74     440450000000              134050000000              14050000000            120000000000           2810000000             11240000000            0.304348        3830000.000000 
75     445625000000              135625000000              15625000000            120000000000           0                      15625000000            0.304348        3875000.000000 
76     450800000000              137200000000              17200000000            120000000000           0                      17200000000            0.304348        3920000.000000 
77     455975000000              138775000000              18775000000            120000000000           0                      18775000000            0.304348        3965000.000000 
78     461150000000              140350000000              20350000000            120000000000           0                      20350000000            0.304348        4010000.000000 
79     466325000000              141925000000              21925000000            120000000000           5068750000             16856250000            0.304348        4055000.000000 
