time   required_computation      processed_computation     high_level_computation access_server_computation  level_2_computation    level_3_computation    efficiency      changing_factor
1      62675000000               62675000000               0                      62675000000            0                      0                      1.000000        545000.000000  
2      67850000000               67850000000               0                      67850000000            0                      0                      1.000000        590000.000000  
3      73025000000               73025000000               0                      73025000000            0                      0                      1.000000        635000.000000  
4      78200000000               78200000000               0                      78200000000            0                      0                      1.000000        680000.000000  
5      83375000000               83375000000               0                      83375000000            0                      0                      1.000000        725000.000000  
6      88550000000               88550000000               0                      88550000000            0                      0                      1.000000        770000.000000  
7      93725000000               93725000000               0                      93725000000            0                      0                      1.000000        815000.000000  
8      98900000000               98900000000               0                      98900000000            0                      0                      1.000000        860000.000000  
9      104075000000              104075000000              0                      104075000000           0                      0                      1.000000        905000.000000  
10     109250000000              109250000000              0                      109250000000           0                      0                      1.000000        950000.000000  
11     114425000000              114425000000              0                      114425000000           0                      0                      1.000000        995000.000000  
12     119600000000              119600000000              0                      119600000000           0                      0                      1.000000        1040000.000000 
13     124775000000              124775000000              4775000000             120000000000           0                      4775000000             1.000000        1085000.000000 
14     129950000000              129950000000              9950000000             120000000000           0                      9950000000             1.000000        1130000.000000 
15     135125000000              135125000000              15125000000            120000000000           0                      15125000000            1.000000        1175000.000000 
16     140300000000              138000000000              18000000000            120000000000           0                      18000000000            0.983607        1220000.000000 
17     145475000000              138000000000              18000000000            120000000000           0                      18000000000            0.948617        1265000.000000 
18     150650000000              138000000000              18000000000            120000000000           0                      18000000000            0.916031        1310000.000000 
19     155825000000              138000000000              18000000000            120000000000           0                      18000000000            0.885609        1355000.000000 
20     161000000000              138000000000              18000000000            120000000000           0                      18000000000            0.857143        1400000.000000 
21     166175000000              138000000000              18000000000            120000000000           0                      18000000000            0.830450        1445000.000000 
22     171350000000              138000000000              18000000000            120000000000           0                      18000000000            0.805369        1490000.000000 
23     176525000000              138000000000              18000000000            120000000000           0                      18000000000            0.781759        1535000.000000 
24     181700000000              138000000000              18000000000            120000000000           0                      18000000000            0.759494        1580000.000000 
25     186875000000              138000000000              18000000000            120000000000           0                      18000000000            0.738462        1625000.000000 
26     192050000000              138000000000              18000000000            120000000000           0                      18000000000            0.718563        1670000.000000 
27     197225000000              138000000000              18000000000            120000000000           0                      18000000000            0.699708        1715000.000000 
28     202400000000              138000000000              18000000000            120000000000           0                      18000000000            0.681818        1760000.000000 
29     207575000000              135325000000              18000000000            117325000000           0                      18000000000            0.651933        1805000.000000 
30     212750000000              138000000000              18000000000            120000000000           0                      18000000000            0.648649        1850000.000000 
31     217925000000              138000000000              18000000000            120000000000           0                      18000000000            0.633245        1895000.000000 
32     223100000000              138000000000              18000000000            120000000000           0                      18000000000            0.618557        1940000.000000 
33     228275000000              138000000000              18000000000            120000000000           0                      18000000000            0.604534        1985000.000000 
34     233450000000              138000000000              18000000000            120000000000           0                      18000000000            0.591133        2030000.000000 
35     238625000000              148375000000              28375000000            120000000000           10375000000            18000000000            0.621792        2075000.000000 
36     243800000000              148600000000              28600000000            120000000000           10600000000            18000000000            0.609516        2120000.000000 
37     248975000000              148825000000              28825000000            120000000000           10825000000            18000000000            0.597751        2165000.000000 
38     254150000000              149050000000              29050000000            120000000000           11050000000            18000000000            0.586465        2210000.000000 
39     259325000000              149275000000              29275000000            120000000000           11275000000            18000000000            0.575629        2255000.000000 
40     264500000000              149500000000              29500000000            120000000000           11500000000            18000000000            0.565217        2300000.000000 
41     269675000000              149725000000              29725000000            120000000000           11725000000            18000000000            0.555205        2345000.000000 
42     274850000000              149950000000              29950000000            120000000000           11950000000            18000000000            0.545570        2390000.000000 
43     280025000000              150175000000              30175000000            120000000000           12175000000            18000000000            0.536291        2435000.000000 
44     285200000000              150400000000              30400000000            120000000000           12400000000            18000000000            0.527349        2480000.000000 
45     290375000000              150625000000              30625000000            120000000000           12625000000            18000000000            0.518726        2525000.000000 
46     295550000000              150850000000              30850000000            120000000000           12850000000            18000000000            0.510404        2570000.000000 
47     300725000000              151075000000              31075000000            120000000000           13075000000            18000000000            0.502369        2615000.000000 
48     305900000000              151300000000              31300000000            120000000000           13300000000            18000000000            0.494606        2660000.000000 
49     311075000000              151525000000              31525000000            120000000000           13525000000            18000000000            0.487101        2705000.000000 
50     316250000000              151750000000              31750000000            120000000000           13750000000            18000000000            0.479842        2750000.000000 
51     321425000000              151975000000              31975000000            120000000000           13975000000            18000000000            0.472816        2795000.000000 
52     326600000000              152200000000              32200000000            120000000000           14200000000            18000000000            0.466013        2840000.000000 
53     331775000000              152425000000              32425000000            120000000000           14425000000            18000000000            0.459423        2885000.000000 
54     336950000000              152650000000              32650000000            120000000000           14650000000            18000000000            0.453035        2930000.000000 
55     342125000000              152875000000              32875000000            120000000000           14875000000            18000000000            0.446840        2975000.000000 
56     347300000000              123700000000              18000000000            105700000000           0                      18000000000            0.356176        3020000.000000 
57     352475000000              125275000000              18000000000            107275000000           0                      18000000000            0.355415        3065000.000000 
58     357650000000              126850000000              18000000000            108850000000           0                      18000000000            0.354676        3110000.000000 
59     362825000000              128425000000              18000000000            110425000000           0                      18000000000            0.353959        3155000.000000 
60     368000000000              130000000000              18000000000            112000000000           0                      18000000000            0.353261        3200000.000000 
61     373175000000              131575000000              18000000000            113575000000           0                      18000000000            0.352583        3245000.000000 
62     378350000000              133150000000              18000000000            115150000000           0                      18000000000            0.351923        3290000.000000 
63     383525000000              134725000000              18000000000            116725000000           0                      18000000000            0.351281        3335000.000000 
64     388700000000              136300000000              18000000000            118300000000           0                      18000000000            0.350656        3380000.000000 
65     393875000000              137875000000              18000000000            119875000000           0                      18000000000            0.350048        3425000.000000 
66     399050000000              139450000000              19450000000            120000000000           1450000000             18000000000            0.349455        3470000.000000 
67     404225000000              141025000000              21025000000            120000000000           3025000000             18000000000            0.348877        3515000.000000 
68     409400000000              142600000000              22600000000            120000000000           4600000000             18000000000            0.348315        3560000.000000 
69     414575000000              144175000000              24175000000            120000000000           6175000000             18000000000            0.347766        3605000.000000 
70     419750000000              145750000000              25750000000            120000000000           7750000000             18000000000            0.347230        3650000.000000 
71     424925000000              147325000000              27325000000            120000000000           9325000000             18000000000            0.346708        3695000.000000 
72     430100000000              148900000000              28900000000            120000000000           10900000000            18000000000            0.346199        3740000.000000 
73     435275000000              150475000000              30475000000            120000000000           12475000000            18000000000            0.345701        3785000.000000 
74     440450000000              134050000000              14050000000            120000000000           14050000000            0                      0.304348        3830000.000000 
75     445625000000              135625000000              15625000000            120000000000           15625000000            0                      0.304348        3875000.000000 
76     450800000000              137200000000              17200000000            120000000000           17200000000            0                      0.304348        3920000.000000 
77     455975000000              138465000000              18465000000            120000000000           18465000000            0                      0.303668        3965000.000000 
78     461150000000              139410000000              19410000000            120000000000           19410000000            0                      0.302309        4010000.000000 
79     466325000000              140355000000              20355000000            120000000000           20355000000            0                      0.300981        4055000.000000 
80     471500000000              141300000000              21300000000            120000000000           21300000000            0                      0.299682        4100000.000000 
